고유번호,기준연도,행정동코드,행정동명,2007년사용량,2008년사용량,경도,위도
383,2008,1123072,일원본동,131.66673,149.05547,127.0839487,37.483064
385,2008,1123076,세곡동,29.179326,29.949052,127.1034738,37.4724392
386,2008,1125072,암사1동,77.085906,84.919763,127.1360249,37.5509501
387,2008,1125073,천호2동,161.169866,167.589854,127.122086,37.5438958
398,2008,1124055,마천1동,32.825066,33.006524,127.1545404,37.4942934
430,2008,1125059,암사3동,135.190887,141.3095,127.1384252,37.5625071
403,2008,1124058,방이2동,134.74326,136.707516,127.1138568,37.5126447
407,2008,1124071,잠실본동,143.973478,147.11602,127.0819727,37.505573
414,2008,1125070,둔촌1동,7.689708,7.425011,127.1400533,37.5228724
420,2008,1123067,도곡2동,206.850177,202.922658,127.0489675,37.4880185
388,2008,1125074,길동,176.788732,179.677728,127.1473638,37.5398758
392,2008,1124054,거여2동,56.795495,56.807209,127.1489329,37.4891281
393,2008,1124062,송파2동,55.922733,56.206736,127.1167081,37.5029784
394,2008,1124064,삼전동,86.17454,87.148384,127.0905088,37.5016876
395,2008,1124070,장지동,58.043937,69.756089,127.1367905,37.4811119
397,2008,1125063,천호3동,81.569268,82.149692,127.1340726,37.5393527
340,2008,1119056,당산2동,103.802227,106.844364,126.9036897,37.5334719
341,2008,1119070,대림1동,54.884414,55.614497,126.9047031,37.493276
343,2008,1123061,대치2동,60.524873,61.273872,127.0662436,37.4955294
344,2008,1123070,개포3동,31.428367,31.704273,127.0718191,37.4885825
347,2008,1123066,도곡1동,119.655308,123.822486,127.0407387,37.4894403
349,2008,1124051,풍납1동,53.800824,49.416853,127.1137027,37.5382922
369,2008,1121063,남현동,54.74579,58.414975,126.9765916,37.4617099
370,2008,1121066,서림동,57.40722,59.19018,126.938117,37.4737918
371,2008,1121069,신림동,88.432174,91.851306,126.9269185,37.4868818
372,2008,1121072,조원동,101.818272,103.651986,126.9070206,37.4833426
374,2008,1121073,대학동,221.959497,225.027668,126.9503831,37.4543585
375,2008,1121078,은천동,68.126767,69.248238,126.9405829,37.4871325
380,2008,1123068,개포1동,34.484408,34.73561,127.0604992,37.480258
415,2008,1125071,둔촌2동,103.313345,105.429869,127.1485334,37.531799
416,2008,1123059,삼성2동,188.146631,197.601305,127.0489931,37.5116921
417,2008,1123062,대치3동,200.241798,201.87656,127.0661117,37.501685
419,2008,1123064,역삼1동,811.389233,839.363475,127.0367584,37.4999211
421,2008,1118058,시흥2동,42.630933,39.78739,126.9205318,37.4506941
423,2008,1123051,신사동,57.489527,59.389609,127.0201823,37.5258447
425,2008,1124080,잠실3동,188.013635,214.449989,127.0947833,37.5162319
426,2008,1125051,강일동,12.637248,15.349535,127.1725746,37.5632192
428,2008,1125056,고덕2동,40.612626,41.410712,127.1622577,37.5665935
429,2008,1125058,암사2동,39.441958,40.119107,127.12315,37.5581746
431,2008,1125061,천호1동,62.420996,66.6182,127.1375642,37.5465789
432,2008,1101065,혜화동,65.333465,66.712451,127.0008948,37.5868266
434,2008,1111051,월계1동,61.366745,62.602469,127.0625553,37.6187434
436,2008,1111077,상계6.7동,129.276013,132.254037,127.0614074,37.6466982
424,2008,1124079,잠실2동,31.061469,42.261366,127.0795435,37.5177509
433,2008,1106061,답십리2동,25.062323,25.496257,127.0598105,37.5717561
406,2008,1124061,송파1동,81.46038,84.460649,127.1103631,37.5069858
411,2008,1124065,가락본동,164.741883,167.062853,127.1213957,37.4971923
418,2008,1123063,대치4동,218.378668,220.665671,127.0549429,37.5015894
422,2008,1125066,성내2동,73.904534,76.036348,127.1277928,37.5343406
